"","P","ll","D","W","copula","params1","params2"
"279","4","73.7942559513497","400","24","gumbelCopula","2.19035023126526",NA
"280","4","73.285995694655","400","24","galambosCopula","1.45443179043758",NA
"281","4","72.0309571526255","400","24","huslerReissCopula","1.91001987514512",NA
"282","4","73.2536446295485","400","24","tevCopula","0.911808776243936","4.73855244573438"
"283","4","86.5684429975702","400","24","tCopula","0.797251540580992","16.3355078588312"
"284","4","87.401440144608","400","24","rot gumbelCopula","2.36335707001934",NA
"285","4","86.9943095039747","400","24","rot galambosCopula","1.64654460031601",NA
"286","4","85.2735684248545","400","24","rot huslerReissCopula","2.14062317076188",NA
"287","4","0","400","70","Independent",NA,NA
"288","4","61.1836736897079","400","70","normalCopula","0.715895990774582",NA
"289","4","58.3437743776694","400","70","claytonCopula","2.50715895478842",NA
"290","4","42.5701275703018","400","70","gumbelCopula","1.76595112488038",NA
"291","4","43.0055975398595","400","70","galambosCopula","1.03814114610618",NA
"292","4","42.4343690027495","400","70","huslerReissCopula","1.46638814958196",NA
"293","4","43.0288036362991","400","70","tevCopula","0.912343711742786","9.02693047598199"
"294","4","61.16593499533","400","70","tCopula","0.715864922865115","1118.01958825849"
"295","4","65.0288313056108","400","70","rot gumbelCopula","2.01044573745153",NA
"296","4","65.6699593326543","400","70","rot galambosCopula","1.30490368271528",NA
"297","4","65.8533730357863","400","70","rot huslerReissCopula","1.82248635531374",NA
"298","4","0","770","8","Independent",NA,NA
"299","4","66.4530272575633","770","8","normalCopula","0.731281279796011",NA
"300","4","60.2002667378397","770","8","claytonCopula","2.43931909102203",NA
"301","4","54.2278715814647","770","8","gumbelCopula","1.89667669412091",NA
"302","4","54.0720823365035","770","8","galambosCopula","1.16365425062239",NA
"303","4","53.6487488270619","770","8","huslerReissCopula","1.61448407881173",NA
"304","4","53.938682839773","770","8","tevCopula","0.915257808845381","7.70227089701705"
"305","4","66.7325838441467","770","8","tCopula","0.73320379225488","21.4539829115351"
"306","4","69.9513959892991","770","8","rot gumbelCopula","2.06849561760175",NA
"307","4","70.1494587076069","770","8","rot galambosCopula","1.3604012914775",NA
"308","4","69.0576629625575","770","8","rot huslerReissCopula","1.8535999086855",NA
"309","4","0","770","24","Independent",NA,NA
"310","4","36.8675440265382","770","24","normalCopula","0.60056474571995",NA
"311","4","39.2895344641206","770","24","claytonCopula","1.58095349506801",NA
"312","4","24.3509235379269","770","24","gumbelCopula","1.52352482468761",NA
"313","4","25.1792161537959","770","24","galambosCopula","0.798493802918329",NA
"314","4","25.1920521936924","770","24","huslerReissCopula","1.21441800054879",NA
"315","4","25.3237806940468","770","24","tevCopula","0.932182387687398","18.5276596665431"
"316","4","36.8653371526128","770","24","tCopula","0.600596979030426","1620.36275000715"
"317","4","40.3762054347343","770","24","rot gumbelCopula","1.68192731961242",NA
"318","4","41.0961305700919","770","24","rot galambosCopula","0.972214768007306",NA
"319","4","41.651453439314","770","24","rot huslerReissCopula","1.45145516144624",NA
"320","4","0","770","70","Independent",NA,NA
"321","4","37.6546148041236","770","70","normalCopula","0.599114305142616",NA
"322","4","-5.1277877558433","770","70","claytonCopula","1.76491010530552",NA
"323","4","35.335235125446","770","70","gumbelCopula","1.64071277614036",NA
"324","4","36.0083739729856","770","70","galambosCopula","0.916608723536291",NA
"325","4","36.5048679402831","770","70","huslerReissCopula","1.36511767733606",NA
"326","4","36.4020147134178","770","70","tevCopula","0.970706795437685","35.5321579307614"
"327","4","37.654443444425","770","70","tCopula","0.599114728965817","104784.707344053"
"328","4","26.1355660174684","770","70","rot gumbelCopula","1.55763407104997",NA
"329","4","26.0285543183696","770","70","rot galambosCopula","0.818432922545709",NA
"330","4","25.6841144152483","770","70","rot huslerReissCopula","1.21937995808682",NA
"331","5","0","400","8","Independent",NA,NA
"332","5","65.3235393177347","400","8","normalCopula","0.730776116623738",NA
"333","5","50.7577276172847","400","8","claytonCopula","2.35287580240192",NA
"334","5","51.5502146689702","400","8","gumbelCopula","1.85385376595171",NA
"335","5","52.4543806168059","400","8","galambosCopula","1.13568901175401",NA
"336","5","53.078817542775","400","8","huslerReissCopula","1.61659999215791",NA
"337","5","52.9905247514879","400","8","tevCopula","0.977036526807997","32.1513148259709"
"338","5","65.3107918158285","400","8","tCopula","0.730725571994055","1733.59571465286"
"339","5","63.5469180807489","400","8","rot gumbelCopula","1.98516829489427",NA
"340","5","64.4214525627727","400","8","rot galambosCopula","1.27943410658944",NA
"341","5","65.0771711654941","400","8","rot huslerReissCopula","1.80284106448973",NA
"342","5","0","400","24","Independent",NA,NA
"343","5","42.9595106365842","400","24","normalCopula","0.637437366850805",NA
"344","5","14.2182592871496","400","24","claytonCopula","1.96233173301364",NA
"345","5","38.1679442783791","400","24","gumbelCopula","1.71253216454749",NA
"346","5","38.0829797606945","400","24","galambosCopula","0.97746317672152",NA
