"","P","I","ll","copula","params1","params2"
"391","3","3","73.4741300093155","huslerReissCopula","1.66202671768362",NA
"392","3","3","87.0140873003611","tevCopula","0.774672562105906","1.31559748164647"
"393","3","3","107.472179934687","tCopula","0.783865645716277","3.45999756138885"
"394","3","3","118.301838777565","rot gumbelCopula","2.41771917223378",NA
"395","3","3","116.972890191094","rot galambosCopula","1.7124644399296",NA
"396","3","3","110.568605757794","rot huslerReissCopula","2.1499837925222",NA
"397","4","0","0","Independent",NA,NA
"398","4","0","68.1681068680662","normalCopula","0.67872996139707",NA
"399","4","0","69.7594264729898","claytonCopula","2.15939791918724",NA
"400","4","0","57.9071000117116","gumbelCopula","1.79548858904414",NA
"401","4","0","55.933631367755","galambosCopula","1.0587234745614",NA
"402","4","0","50.69573944583","huslerReissCopula","1.40483326876013",NA
"403","4","0","59.9849499499382","tevCopula","0.738610965472999","2.07169825312154"
"404","4","0","73.4644578390127","tCopula","0.695679893984858","5.72625944984216"
"405","4","0","78.0182817742646","rot gumbelCopula","1.94489210237732",NA
"406","4","0","78.1320557942437","rot galambosCopula","1.23624394316028",NA
"407","4","0","77.0987809631461","rot huslerReissCopula","1.71990649138265",NA
"408","4","1","0","Independent",NA,NA
"409","4","1","48.4031059513113","normalCopula","0.599147261006289",NA
"410","4","1","59.5736937334771","claytonCopula","1.37301888802364",NA
"411","4","1","34.8253661278086","gumbelCopula","1.53269239379384",NA
"412","4","1","35.6281771589021","galambosCopula","0.805526249051932",NA
"413","4","1","35.852927510472","huslerReissCopula","1.22861290636057",NA
"414","4","1","35.8525431348662","tevCopula","0.954299066036893","27.7277962729564"
"415","4","1","48.9409757371072","tCopula","0.59690079763264","12.3001303006129"
"416","4","1","57.6546696248173","rot gumbelCopula","1.70747031402881",NA
"417","4","1","58.1405987110409","rot galambosCopula","1.00284119915306",NA
"418","4","1","58.1997032296988","rot huslerReissCopula","1.482930960308",NA
"419","4","2","0","Independent",NA,NA
"420","4","2","47.9002004797271","normalCopula","0.596758364665586",NA
