,participant,id,mt
485,4,2.321928094887362,0.623
486,4,2.321928094887362,0.642
487,4,2.321928094887362,0.57
488,4,2.321928094887362,0.669
489,4,2.321928094887362,0.605
490,4,2.321928094887362,0.84
491,4,2.321928094887362,0.569
492,4,2.321928094887362,0.696
493,4,2.321928094887362,0.632
494,4,2.321928094887362,0.604
495,4,2.321928094887362,0.749
496,4,2.321928094887362,0.749
497,4,2.321928094887362,0.506
498,4,2.321928094887362,0.895
499,4,2.321928094887362,0.813
500,4,2.321928094887362,1.709
501,4,2.321928094887362,0.994
502,4,2.321928094887362,1.175
503,4,2.321928094887362,0.849
504,4,2.321928094887362,1.301
505,4,2.321928094887362,0.813
506,4,2.321928094887362,0.714
507,4,2.321928094887362,0.832
508,4,2.321928094887362,0.714
509,4,2.321928094887362,0.76
510,4,2.321928094887362,0.687
511,4,2.321928094887362,0.534
512,4,2.321928094887362,1.8
513,4,2.321928094887362,0.46
514,4,2.321928094887362,0.866
515,4,2.321928094887362,0.596
516,4,2.321928094887362,2.161
517,4,2.321928094887362,0.614
518,4,2.321928094887362,0.633
519,4,2.321928094887362,0.723
520,4,1.874469117916141,0.524
521,4,1.874469117916141,0.414
522,4,1.874469117916141,0.506
523,4,1.874469117916141,1.392
524,4,1.874469117916141,1.212
525,4,1.874469117916141,0.569
526,4,1.874469117916141,0.488
527,4,1.874469117916141,0.66
528,4,1.874469117916141,0.533
529,4,1.874469117916141,0.413
530,4,1.874469117916141,0.696
531,4,1.874469117916141,0.506
532,4,1.874469117916141,0.578
533,4,1.874469117916141,0.442
534,4,1.874469117916141,0.587
535,4,1.874469117916141,0.604
536,4,1.874469117916141,0.705
537,4,1.874469117916141,0.631
538,4,1.874469117916141,0.47
539,4,1.874469117916141,0.633
540,4,1.874469117916141,0.476
541,4,1.874469117916141,0.57
542,4,1.874469117916141,1.399
543,4,1.874469117916141,1.518
544,4,1.874469117916141,0.615
545,4,1.874469117916141,0.714
546,4,1.874469117916141,0.579
547,4,1.874469117916141,0.694
548,4,1.874469117916141,0.931
549,4,1.874469117916141,0.795
550,4,1.874469117916141,1.155
551,4,1.874469117916141,0.805
552,4,1.874469117916141,0.777
553,4,1.874469117916141,0.642
554,4,1.874469117916141,0.668
555,4,1.874469117916141,0.895
556,4,1.874469117916141,0.877
557,4,1.874469117916141,0.452
558,4,1.874469117916141,0.614
559,4,1.874469117916141,1.003
560,4,1.584962500721156,1.291
561,4,1.584962500721156,1.048
562,4,1.584962500721156,0.686
563,4,1.584962500721156,0.451
564,4,1.584962500721156,0.415
565,4,1.584962500721156,0.533
566,4,1.584962500721156,0.432
567,4,1.584962500721156,0.488
568,4,1.584962500721156,0.479
569,4,1.584962500721156,0.407
570,4,1.584962500721156,1.32
571,4,1.584962500721156,0.534
572,4,1.584962500721156,0.488
573,4,1.584962500721156,0.478
574,4,1.584962500721156,0.434
575,4,1.584962500721156,0.461
576,4,1.584962500721156,0.47
577,4,1.584962500721156,0.416
578,4,1.584962500721156,0.461
579,4,1.584962500721156,0.451
580,4,1.584962500721156,0.38
581,4,1.584962500721156,0.976
582,4,1.584962500721156,0.74
583,4,1.584962500721156,0.488
584,4,1.584962500721156,0.488
585,4,1.584962500721156,0.425
586,4,1.584962500721156,1.238
587,4,1.584962500721156,2.132
588,4,1.584962500721156,0.461
589,4,1.584962500721156,1.283
590,4,1.584962500721156,0.651
591,4,1.584962500721156,0.344
592,4,1.584962500721156,0.461
593,4,1.584962500721156,0.379
594,4,1.584962500721156,0.488
595,4,1.584962500721156,0.38
596,4,1.584962500721156,1.897
597,4,1.584962500721156,0.614
598,4,1.584962500721156,0.461
599,4,1.584962500721156,0.342
600,4,3.169925001442312,0.913
601,4,3.169925001442312,1.011
602,4,3.169925001442312,0.895
603,4,3.169925001442312,1.907
604,4,3.169925001442312,1.002
605,4,3.169925001442312,0.794
606,4,3.169925001442312,1.039
607,4,3.169925001442312,0.74
608,4,3.169925001442312,0.822
609,4,3.169925001442312,0.832
610,4,3.169925001442312,1.473
611,4,3.169925001442312,1.599
612,4,3.169925001442312,2.142
613,4,3.169925001442312,0.947
614,4,3.169925001442312,1.111
615,4,3.169925001442312,1.165
616,4,3.169925001442312,0.849
617,4,3.169925001442312,1.183
618,4,3.169925001442312,1.383
619,4,3.169925001442312,0.886
620,4,3.169925001442312,2.006
621,4,3.169925001442312,0.985
622,4,3.169925001442312,0.542
623,4,3.169925001442312,0.923
624,4,3.169925001442312,0.687
625,4,3.169925001442312,0.841
626,4,3.169925001442312,0.894
627,4,3.169925001442312,0.903
628,4,3.169925001442312,1.762
629,4,3.169925001442312,0.741
630,4,3.169925001442312,0.813
631,4,3.169925001442312,1.029
632,4,3.169925001442312,1.247
633,4,3.169925001442312,0.721
634,4,3.169925001442312,1.827
635,4,3.169925001442312,1.131
636,4,3.169925001442312,0.985
637,4,3.169925001442312,0.759
638,4,3.169925001442312,1.438
639,4,3.169925001442312,1.039
640,4,2.662965012722429,0.913
641,4,2.662965012722429,1.789
642,4,2.662965012722429,0.858
